"date","calls"
2009-09-19,290
2009-09-18,293
2009-09-17,314
2009-09-16,298
2009-09-15,273
2009-09-14,254
2009-09-13,204
2009-09-12,290
2009-09-11,255
2009-09-10,318
2009-09-09,299
2009-09-08,344
2009-09-07,240
2009-09-06,194
2009-09-05,283
2009-09-04,299
2009-09-03,318
2009-09-02,230
2009-09-01,287
2009-10-31,446
2009-10-30,345
2009-10-29,258
2009-10-28,287
2009-10-27,271
2009-10-26,243
2009-10-25,212
2009-10-24,205
2009-10-23,275
2009-10-22,326
2009-10-21,213
2009-10-20,307
2009-10-19,294
2009-10-18,241
2009-10-17,220
2009-10-16,264
2009-10-15,252
2009-10-14,258
2009-10-13,242
2009-10-12,237
2009-10-11,175
2009-10-10,198
2009-10-09,257
2009-10-08,273
2009-10-07,308
2009-10-06,316
2009-10-05,280
2009-10-04,194
2009-10-03,283
2009-10-02,278
2009-10-01,327
2009-11-30,257
2009-11-29,192
2009-11-28,218
2009-11-27,284
2009-11-26,185
2009-11-25,237
2009-11-24,321
2009-11-23,270
2009-11-22,191
2009-11-21,226
2009-11-20,249
2009-11-19,261
2009-11-18,304
2009-11-17,258
2009-11-16,265
2009-11-15,174
2009-11-14,280
2009-11-13,256
2009-11-12,257
2009-11-11,254
2009-11-10,286
2009-11-09,254
2009-11-08,156
2009-11-07,182
2009-11-06,243
2009-11-05,219
2009-11-04,242
2009-11-03,218
2009-11-02,219
2009-11-01,332
2009-12-31,273
2009-12-30,340
2009-12-29,275
2009-12-28,287
2009-12-27,192
2009-12-26,174
2009-12-25,145
2009-12-24,205
2009-12-23,269
2009-12-22,256
2009-12-21,296
2009-12-20,180
2009-12-19,212
2009-12-18,269
2009-12-17,247
2009-12-16,271
2009-12-15,264
2009-12-14,249
2009-12-13,185
2009-12-12,189
2009-12-11,225
2009-12-10,256
2009-12-09,292
2009-12-08,260
2009-12-07,232
2009-12-06,232
2009-12-05,192
2009-12-04,284
2009-12-03,272
2009-12-02,273
2009-12-01,239
2010-01-31,220
2010-01-30,241
2010-01-29,270
2010-01-28,270
2010-01-27,300
2010-01-26,310
2010-01-25,278
2010-01-24,194
2010-01-23,228
2010-01-22,295
2010-01-21,414
2010-01-20,295
2010-01-19,329
2010-01-18,264
2010-01-17,217
2010-01-16,235
2010-01-15,265
2010-01-14,248
2010-01-13,273
2010-01-12,304
2010-01-11,265
2010-01-10,210
2010-01-09,223
2010-01-08,279
2010-01-07,233
2010-01-06,211
2010-01-05,267
2010-01-04,313
2010-01-03,210
2010-01-02,186
2010-01-01,222
2010-02-28,226
2010-02-27,261
2010-02-26,289
2010-02-25,257
2010-02-24,268
2010-02-23,246
2010-02-22,247
2010-02-21,235
2010-02-20,266
2010-02-19,302
2010-02-18,327
2010-02-17,283
2010-02-16,299
2010-02-15,294
2010-02-14,208
2010-02-13,289
2010-02-12,290
2010-02-11,306
2010-02-10,317
2010-02-09,306
2010-02-08,275
2010-02-07,213
2010-02-06,237
2010-02-05,257
2010-02-04,278
2010-02-03,282
2010-02-02,249
2010-02-01,210
2010-03-31,335
2010-03-30,285
2010-03-29,236
2010-03-28,180
2010-03-27,236
2010-03-26,258
2010-03-25,231
2010-03-24,284
2010-03-23,266
2010-03-22,247
2010-03-21,195
2010-03-20,199
2010-03-19,237
2010-03-18,277
2010-03-17,249
2010-03-16,262
2010-03-15,271
2010-03-14,225
2010-03-13,216
2010-03-12,279
2010-03-11,259
2010-03-10,217
2010-03-09,245
2010-03-08,240
2010-03-07,181
2010-03-06,247
2010-03-05,322
2010-03-04,251
2010-03-03,200
2010-03-02,221
2010-03-01,264
2010-04-30,331
2010-04-29,320
2010-04-28,214
2010-04-27,245
2010-04-26,247
2010-04-25,172
2010-04-24,248
2010-04-23,305
2010-04-22,331
2010-04-21,245
2010-04-20,255
2010-04-19,254
2010-04-18,230
2010-04-17,261
2010-04-16,285
2010-04-15,271
2010-04-14,219
2010-04-13,267
2010-04-12,201
2010-04-11,217
2010-04-10,216
2010-04-09,332
2010-04-08,280
2010-04-07,249
2010-04-06,291
2010-04-05,198
2010-04-04,204
2010-04-03,223
2010-04-02,260
2010-04-01,270
2010-05-31,224
2010-05-30,231
2010-05-29,271
2010-05-28,314
2010-05-27,261
2010-05-26,278
2010-05-25,277
2010-05-24,268
2010-05-23,216
2010-05-22,248
2010-05-21,287
2010-05-20,274
2010-05-19,264
2010-05-18,243
2010-05-17,262
2010-05-16,239
2010-05-15,329
2010-05-14,303
2010-05-13,345
2010-05-12,219
2010-05-11,274
2010-05-10,254
2010-05-09,206
2010-05-08,284
2010-05-07,354
2010-05-06,226
2010-05-05,294
2010-05-04,259
2010-05-03,194
2010-05-02,222
2010-05-01,304
2010-06-30,260
2010-06-29,292
2010-06-28,295
2010-06-27,219
2010-06-26,211
2010-06-25,278
2010-06-24,310
2010-06-23,349
2010-06-22,307
2010-06-21,256
2010-06-20,190
2010-06-19,221
2010-06-18,284
2010-06-17,316
2010-06-16,324
2010-06-15,297
2010-06-14,269
2010-06-13,229
2010-06-12,280
2010-06-11,339
2010-06-10,257
2010-06-09,249
2010-06-08,302
2010-06-07,247
2010-06-06,247
2010-06-05,267
2010-06-04,265
2010-06-03,242
2010-06-02,243
2010-06-01,260
2010-07-31,260
2010-07-30,273
2010-07-29,304
2010-07-28,280
2010-07-27,254
2010-07-26,251
2010-07-25,237
2010-07-24,225
2010-07-23,293
2010-07-22,345
2010-07-21,325
2010-07-20,305
2010-07-19,259
2010-07-18,195
2010-07-17,246
2010-07-16,303
2010-07-15,308
2010-07-14,306
2010-07-13,286
2010-07-12,246
2010-07-11,209
2010-07-10,218
2010-07-09,296
2010-07-08,315
2010-07-07,327
2010-07-06,301
2010-07-05,264
2010-07-04,244
2010-07-03,297
2010-07-02,263
2010-07-01,94
2010-08-31,291
2010-08-30,230
2010-08-29,182
2010-08-28,243
2010-08-27,300
2010-08-26,332
2010-08-25,273
2010-08-24,290
2010-08-23,289
2010-08-22,205
2010-08-21,203
2010-08-20,295
2010-08-19,321
2010-08-18,309
2010-08-17,335
2010-08-16,253
2010-08-15,246
2010-08-14,252
2010-08-13,342
2010-08-12,349
2010-08-11,338
2010-08-10,229
2010-08-09,238
2010-08-08,191
2010-08-07,265
2010-08-06,284
2010-08-05,301
2010-08-04,255
2010-08-03,240
2010-08-02,233
2010-08-01,200
2010-09-30,306
2010-09-29,323
2010-09-28,276
2010-09-27,285
2010-09-26,229
2010-09-25,287
2010-09-24,326
2010-09-23,285
2010-09-22,275
2010-09-21,278
2010-09-20,257
2010-09-19,228
2010-09-18,299
2010-09-17,325
2010-09-16,321
2010-09-15,264
2010-09-14,271
2010-09-13,231
2010-09-12,181
2010-09-11,215
2010-09-10,324
2010-09-09,307
2010-09-08,345
2010-09-07,263
2010-09-06,268
2010-09-05,230
2010-09-04,259
2010-09-03,300
2010-09-02,302
2010-09-01,233
2010-10-31,272
2010-10-30,340
2010-10-29,335
2010-10-28,269
2010-10-27,220
2010-10-26,228
2010-10-25,193
2010-10-24,162
2010-10-23,240
2010-10-22,259
2010-10-21,268
2010-10-20,249
2010-10-19,259
2010-10-18,225
2010-10-17,210
2010-10-16,253
2010-10-15,266
2010-10-14,290
2010-10-13,253
2010-10-12,260
2010-10-11,232
2010-10-10,204
2010-10-09,281
2010-10-08,297
2010-10-07,271
2010-10-06,245
2010-10-05,238
2010-10-04,212
2010-10-03,230
2010-10-02,379
2010-10-01,312
2010-11-30,243
2010-11-29,207
2010-11-28,169
2010-11-27,236
2010-11-26,270
2010-11-25,191
2010-11-24,210
2010-11-23,211
